kind,destination_slug,destination_name,source_file,target_file,db_table,db_id,db_name,db_image_path,match_status,notes
unmatched,ninh-binh,,NinhBinh/dam-van-long.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,ninh-binh,,NinhBinh/hang-mua-ninh-binh.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,ninh-binh,,NinhBinh/khu-du-lich-sinh-thai-trang-an.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,ninh-binh,,NinhBinh/khu-du-lich-thung-nham.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,ninh-binh,,NinhBinh/rung-quoc-gia-cuc-phuong.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,ninh-binh,,NinhBinh/tam-coc-bich-dong.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,ninh-binh,,NinhBinh/tam-coc-garden-resort-ninh-binh.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,ninh-binh,,NinhBinh/thach-bich-thung-nang.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,phan-thiet,,PhanThiet/bai-a-ong-ia.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,phan-thiet,,PhanThiet/bai-bien-co-thach.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,phan-thiet,,PhanThiet/bau-trang-phan-thiet.jpg,,,,,,manual_needed,no exact slug match in DB
place_candidate,phan-thiet,,PhanThiet/cho-phan-thiet.jpg,Backend/static/img/places/phan-thiet/cho-phan-thiet.jpg,places,2104,Chợ Phan Thiết,,exact,slug match
unmatched,phan-thiet,,PhanThiet/lang-chai-mui-ne.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,phan-thiet,,PhanThiet/lau-ai-ruou-vang-phan-thiet.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,phan-thiet,,PhanThiet/oi-cat-bay-mui-ne.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,phan-thiet,,PhanThiet/suoi-tien-mui-ne.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,phan-thiet,,PhanThiet/thap-poshanu.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,phan-thiet,,PhanThiet/the-cliff-resort-phan-thiet.jpg,,,,,,manual_needed,no exact slug match in DB
